,OfferDetails,FaceValue,Product
0,"Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"['Downy Odor', 'Wash Scent', 'Downy Unstopables', 'Fresh Protect', 'Odor Protect', 'Infusions', 'Gain Fireworks', 'Downy Liquid Fabric Conditioner', 'Protect', 'Downy Wrinkle Guard', 'Downy Nature', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Boosters', 'Downy Libre Enjuague']"
1,"Save $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"['Tide Simply', 'Tide Simply PODS', 'Tide', 'Tide PODS', 'Tide Power PODS', 'Tide Liquid/Powder Laundry Detergent', 'PODS']"
2,"Save $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"['Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide', 'Tide Laundry Detergent', 'Tide Purclean Laundry Detergent', 'Detergent']"
3,SAVE $1.00 ON TWO when you buy TWO BOXES (8.9 - 15.2 OZ. EXCLUDES LARGE SIZE) any flavor/variety General Mills cereal listed: *,$1.00,['General Mills']
4,"$3.00 OFF when you purchase any THREE (3) Pepperidge Farm® Farmhouse buns, bread, or cookies",$3.00,['Pepperidge Farm® Farmhouse']
5,"SAVE $1.11 when you buy any ONE (1) Familly Size OREO, CHIPS AHOY! or NUTTER BUTTER Cookies (12.1 - 20 oz.)",$1.11,"['OREO', 'CHIPS AHOY', 'NUTTER', 'BUTTER Cookies']"
6,"SAVE $1.00 ON TWO when you buy TWO PACKAGES any flavor 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, *",$1.00,"['Biscuits', 'PACKAGES', 'COUNT', 'LARGER Nature Valley™ Granola Bars']"
7,Save $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,['Sargento® Natural Cheese']
8,$0.65 OFF On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),$0.65,"['Oikos Greek Yogurt Cup', 'Oikos Triple Zero']"
9,"$2.00 OFF ONE (1) SMALL bag of Eight O'Clock® Coffee, Any variety 10 oz. - 12 oz. (excluding Barista Blends)",$2.00,"['Barista Blends', ""O'Clock® Coffee""]"
